,text,cleaned_text,extracted_entities
81,@RepValDemings is latest in #dumbdem #TrumpDerangementSyndrome she came out publicly against the @realDonaldTrump h… https://t.co/Hqic3xSzXe, is latest in   she came out publicly against the  h… ,
82,@RepValDemings I hope you have a prominent position in the Biden Administration!!!!!!, I hope you have a prominent position in the Biden Administration!!!!!!,
83,@RepValDemings Get over it please. We have been duped with this virus. Just like flu. Just wash your hands &amp, Get over it please. We have been duped with this virus. Just like flu. Just wash your hands &amp,
84,"@RepValDemings But, it was for a really good cause."," But, it was for a really good cause.",
85,@RepValDemings Too late you encouraged thousands to protest and riot.  This use of COVID scam is over, Too late you encouraged thousands to protest and riot.  This use of COVID scam is over,"[('COVID', 'VIRUS')]"
86,"@RepValDemings Get over yourself, racist! These rallies ARE GOING TO HAPPEN  and the President, who you tried so ha… https://t.co/2gwqctv6Bl"," Get over yourself, racist! These rallies ARE GOING TO HAPPEN  and the President, who you tried so ha… ",
87,"@RepValDemings Rep Lemmings...definitely have to rename this one.  I bet you loved those ""protests"" though."," Rep Lemmings...definitely have to rename this one.  I bet you loved those ""protests"" though.",
88,@RepValDemings Cases mean nothing if there is a 99.9% recovery rate., Cases mean nothing if there is a 99.9% recovery rate.,
89,@RepValDemings You are talking like a real tool., You are talking like a real tool.,
90,@RepValDemings Very on-brand for Trump., Very on-brand for Trump.,"[('Trump', 'CANDIDATE')]"
91,@RepValDemings You don’t get to say this is irresponsible and selfish when no one made a peep about Corona when it came to massive protests, You don’t get to say this is irresponsible and selfish when no one made a peep about Corona when it came to massive protests,
92,@RepValDemings You aren't allowed to talk about this after allowing major American cities to fall to anarchists., You aren't allowed to talk about this after allowing major American cities to fall to anarchists.,"[('America', 'COUNTRY'), ('America', 'COUNTRY')]"
93,@RepValDemings While these gatherings were ok ?? 🤔 https://t.co/LW66haTMiW, While these gatherings were ok ??  ,
94,"@RepValDemings ""Rallies for me but not for thee"""," ""Rallies for me but not for thee""",
95,@RepValDemings Irresponsible and selfish.  Sounds like a truth-in-packaging campaign slogan for @realDonaldTrump., Irresponsible and selfish.  Sounds like a truth-in-packaging campaign slogan for .,
96,@RepValDemings But massive protests are fine, But massive protests are fine,
97,@RepValDemings He’s an irresponsible and selfish man., He’s an irresponsible and selfish man.,
98,@RepValDemings It’s only ok if it fits your agenda?, It’s only ok if it fits your agenda?,
99,@RepValDemings Just shut up. It’s over., Just shut up. It’s over.,
100,@RepValDemings It’s called freedom., It’s called freedom.,
